Title,Price,Image URL,Rating,Colors,Size,Gender,Timestamp
t-shirt 2,1634400.0,https://picsum.photos/280/350?random=2,3.9,3,M,Women,2025-05-12 10:51:12.433587
hoodie 3,7950080.0,https://picsum.photos/280/350?random=3,4.8,3,L,Unisex,2025-05-12 10:51:12.433725
pants 4,7476960.0,https://picsum.photos/280/350?random=4,3.3,3,XL,Men,2025-05-12 10:51:12.433854
outerwear 5,5145440.0,https://picsum.photos/280/350?random=5,3.5,3,XXL,Women,2025-05-12 10:51:12.433987
jacket 6,2453920.0,https://picsum.photos/280/350?random=6,3.3,3,S,Unisex,2025-05-12 10:51:12.434111
crewneck 7,6892000.0,https://picsum.photos/280/350?random=7,4.3,3,M,Men,2025-05-12 10:51:12.434234
t-shirt 8,7802560.0,https://picsum.photos/280/350?random=8,3.1,3,L,Women,2025-05-12 10:51:12.434357
hoodie 9,3972160.0,https://picsum.photos/280/350?random=9,3.2,3,XL,Unisex,2025-05-12 10:51:12.434479
pants 10,3100160.0,https://picsum.photos/280/350?random=10,4.2,3,XXL,Men,2025-05-12 10:51:12.434603
jacket 12,8527840.0,https://picsum.photos/280/350?random=12,3.9,3,M,Unisex,2025-05-12 10:51:12.434856
crewneck 13,5447200.0,https://picsum.photos/280/350?random=13,3.2,3,L,Men,2025-05-12 10:51:12.434982
t-shirt 14,3248800.0,https://picsum.photos/280/350?random=14,3.8,3,XL,Women,2025-05-12 10:51:12.435107
hoodie 15,2184160.0,https://picsum.photos/280/350?random=15,3.6,3,XXL,Unisex,2025-05-12 10:51:12.435230
outerwear 17,841600.0,https://picsum.photos/280/350?random=17,3.8,3,M,Women,2025-05-12 10:51:12.435471
jacket 18,5500000.0,https://picsum.photos/280/350?random=18,3.8,3,L,Unisex,2025-05-12 10:51:12.435592
crewneck 19,1308960.0,https://picsum.photos/280/350?random=19,3.6,3,XL,Men,2025-05-12 10:51:12.435713
t-shirt 20,1325600.0,https://picsum.photos/280/350?random=20,3.4,3,XXL,Women,2025-05-12 10:51:12.435833
pants 22,4319680.0,https://picsum.photos/280/350?random=22,4.9,3,M,Men,2025-05-12 10:51:12.547934
outerwear 23,4655840.0,https://picsum.photos/280/350?random=23,3.7,3,L,Women,2025-05-12 10:51:12.548063
jacket 24,8223520.0,https://picsum.photos/280/350?random=24,3.9,3,XL,Unisex,2025-05-12 10:51:12.548194
crewneck 25,8322559.999999999,https://picsum.photos/280/350?random=25,3.3,3,XXL,Men,2025-05-12 10:51:12.548318
t-shirt 26,7292320.0,https://picsum.photos/280/350?random=26,4.6,3,S,Women,2025-05-12 10:51:12.548440
hoodie 27,3551840.0,https://picsum.photos/280/350?random=27,4.8,3,M,Unisex,2025-05-12 10:51:12.548563
pants 28,5216160.0,https://picsum.photos/280/350?random=28,4.0,3,L,Men,2025-05-12 10:51:12.548686
outerwear 29,861600.0,https://picsum.photos/280/350?random=29,3.1,3,XL,Women,2025-05-12 10:51:12.548810
jacket 30,8610240.0,https://picsum.photos/280/350?random=30,3.7,3,XXL,Unisex,2025-05-12 10:51:12.548936
t-shirt 32,6657920.0,https://picsum.photos/280/350?random=32,3.4,3,M,Women,2025-05-12 10:51:12.549177
hoodie 33,7248160.0,https://picsum.photos/280/350?random=33,3.5,3,L,Unisex,2025-05-12 10:51:12.549300
pants 34,8362719.999999999,https://picsum.photos/280/350?random=34,3.8,3,XL,Men,2025-05-12 10:51:12.549421
outerwear 35,1356160.0,https://picsum.photos/280/350?random=35,3.8,3,XXL,Women,2025-05-12 10:51:12.549544
jacket 36,7249280.0,https://picsum.photos/280/350?random=36,3.7,3,S,Unisex,2025-05-12 10:51:12.549664
crewneck 37,6006080.0,https://picsum.photos/280/350?random=37,4.0,3,M,Men,2025-05-12 10:51:12.549785
t-shirt 38,4866080.0,https://picsum.photos/280/350?random=38,3.2,3,L,Women,2025-05-12 10:51:12.549904
hoodie 39,6431200.0,https://picsum.photos/280/350?random=39,4.6,3,XL,Unisex,2025-05-12 10:51:12.550024
pants 40,5853600.0,https://picsum.photos/280/350?random=40,3.1,3,XXL,Men,2025-05-12 10:51:12.550143
jacket 42,6744160.0,https://picsum.photos/280/350?random=42,3.7,3,M,Unisex,2025-05-12 10:51:12.678613
crewneck 43,2909600.0,https://picsum.photos/280/350?random=43,4.5,3,L,Men,2025-05-12 10:51:12.678808
t-shirt 44,3312320.0,https://picsum.photos/280/350?random=44,3.0,3,XL,Women,2025-05-12 10:51:12.679115
hoodie 45,8693120.0,https://picsum.photos/280/350?random=45,4.5,3,XXL,Unisex,2025-05-12 10:51:12.679302
outerwear 47,6364640.0,https://picsum.photos/280/350?random=47,3.2,3,M,Women,2025-05-12 10:51:12.679637
jacket 48,4994720.0,https://picsum.photos/280/350?random=48,3.4,3,L,Unisex,2025-05-12 10:51:12.679778
crewneck 49,1071200.0,https://picsum.photos/280/350?random=49,4.0,3,XL,Men,2025-05-12 10:51:12.679901
